Company Name,Number of Medicines
UNIQ MEDICARE,2
ZM LABS,2
BIOSTREAK PHARMACEUTICALS,2
KURIZON HEALTHCARE PVT LTD,2
RED BERYL PHARMACEUTICALS,2
GLEN HEALTH CARE,2
COSMAX,2
EUPHORIA HEALTH CARE PRIVATE LIMITED,2
NEO HERBALS,2
MEDISMITH PHARMA LAB,2
AZURITE BIO SCIENCE PVT LTD,2
INNO WELL PHARMACEUTICALS PRIVATE LIMITED,2
EUREKA LABS LIMITED,2
GREENDOT ECO VENTURES PVT.LTD.,2
CURATIO HEALTH CARE PVT LTD,2
THORAB PHARMA AND RESEARCH LAB,2
DAXAL COSMETICS PRIVATE LIMITED,2
WALPAR HEALTHCARE,2
PULSE REMEDIES,2
SMILES HEALTHCARE,2
SETHI RASAYAN SHALA,2
NEUTRIA PHARMA & HEALTH CARE,2
SPACE ORGANICS,2
CUZDERM,2
NAVA HEALTHCARE PVT LTD,2
KRP PHARMACEUTICALS,2
VIBSAN PHARMACEUTICALS PVT LTD,2
MINOCHA INDUSTRIES,2
HOFFMANN-LA ROCHE AG,2
SPRING HEALTHCARE,2
VENKY'S,2
DARIS BIOCARE,2
CAVINKARE PRIVATE LIMITED,2
ELERA PHARMA PVT LTD,2
PMV NUTRIENT PRODUCTS PVT. LTD.,2
PENTA LATEX,2
MEDIFORCE HEALTHCARE PVT LTD,2
IM HEALTHCARE PRIVATE LIMITED,2
BELL PHARMA,2
MEDIDAY HEALTHCARE PVT LTD,2
SWISS GARNIER BIOTECH PVT. LTD,2
NONI BIOTECH PVT LTD,2
EDELINE REMEDIES,2
S G BIOSCIENCES,2
BLISS CHOCOLATES INDIA PVT LTD,2
KAVYS PHARMA,2
LAXMI TIRUMALA SURGICALS,2
S L TRADING COMPANY,2
CONCH HEALTHCARE PVT LTD,2
ESSENS WELLNESS,2
FIBOVIL PHARMACEUTICAL,2
EDIFICE LABS,2
SBP HEALTH CARE PVT LTD,2
ELPIDA HEALTHCARE PRIVATE LIMITED,2
AVALON COSMETICS PVT. LTD.,2
EADEN HEALTHCARE,2
RE VIVAL PHARMA,2
MIBSONS PHARMACEUTICAL PVT LTD,2
SYNAXIS LABS,2
TETRAKTYS,2
AKON PHARMACEUTICALS,2
NAY BHADRA HEALTH CARE,2
VAIDYARATNAM OUSHADHASALA PVT LTD,2
AVEENO,2
COSSMIC PRODUCTS PVT. LTD.,2
BY NATURE,2
AMBROZO NEUTRACEUTICAL,2
D ENTERPRISES,2
ANKYL HEALTHCARE,2
BESTEAD LIFE SCIENCES,2
DAVDA MARKETING AGENCY,2
RAHUL PHATE'S RESEARCH,2
MCPL INDIA PVT LTD,2
ADREAM BIOTECH,2
HINDUSTAN SYRINGES &AMP; MEDICAL DEVICES LTD,2
STRIDES ARCOLAB LIMITED,2
SINKONA,2
CELLGEN BIOPHARMA,2
HISHIMO,2
RINDZ PHARMA PVT LTD,2
SAVI HEALTHCARE,2
SIOUX PHARMACEUTICAL,2
GOOD RICH HELTHCARE,2
GELTEC PVT LTD,2
GRAPHT PHARMACEUTICALS,2
GLOBAL HEALTHCARE PRODUCTS,2
BSV HEALTHCARE PVT LTD,2
NOVOCIN PHARMACEUTICALS,2
ARTICON LABS PVT LTD,2
MEDISAFE,2
AMKAY,2
DR.DENTAIDS,2
GS PHARMBUTOR PRIVATE LIMITED,2
FAR WEST PHARMA,2
YOMARIS PHARMA,2
SARJAN MEDICAL AGENCY,2
CLOUD 7 PHARMA,2
LSD PHARMA,2
ADVENA LTD,2
ELIPH NUTRITION PVT. LTD.,2
DELHI MEDIART PVT LTD,2
GENLIFE,2
SOUMI'S CAN PRODUCTS,2
RADHESHYAM INDUSTRIES,2
LUCIUS PHARMACEUTICALS,2
INTIGINIS PROMOTIONS PVT LTD,2
RAL CONSUMER PRODUCTS,2
B D PHARMACEUTICAL WORKS PVT. LTD,2
CARAWAY PHARMA PVT LTD,2
AMISTA LABS PVT LTD,2
MEDI CORPORATION HEALTHCARE PHARMACEUTICALS,2
ABONY HEALTHCARE LIMITED,2
NIPPLE HEALTH CARE,2
NUPUR,2
BIOHEX LIFE SCIENCES,2
FISKAR INDIA LTD,2
COCHIN GLOVES (P) LTD,2
POLO PHARMACEUTICALS PVT LTD,2
RAJ VIJAY CORPORATION,2
COLACO HEALTHCARE PVT LTD,2
GILLATTE,2
ORIENTAL PHARMA,2
OKEDIA LIFE SCIENCES PVT LTD.,2
VATERNARY,2
HANAPLAS,2
RATOL,2
DRAMMOCK INTERNATIONAL LTD,2
MAHAVIR ENTERPRISE,2
GATSPORT,2
WELLNESS LIFE SCIENCES PVT LTD,2
CELL CURE PHARMACEUTICALS,2
FBB,2
SIFAM HEALTHCARE PVT LTD.,2
HYGIENIC RESEARCH INSTITUTE PVT LTD,2
AARYAN BIOCARE,2
BEIERSDORF AG,2
LAFIYA BIOTECH,2
KAYA SKIN CLINIC,2
LEO NUTRISCIENCE LLP,2
J &AMP; J DECHANE LABORATORIES PVT LTD,2
RAINBOW HEALTHCARE,2
MINI PHARMACEUTICALS,2
FINN COSMECEUTICALS PVT LTD,2
BEAUMONT HEALTHCARE PVT LTD,2
GANESHA PERSONAL CARE PRODUCTS PVT. LTD PLOT NO. G-41 MIDC KUDAL MAHARASHTRA - 416525,2
ENOMARK BIOTECH,2
CSC WELLNESS,2
NISARGALAYA DRUG UNIT PVT LTD,2
SHALAKS HEALTH CARE,2
AVIVA PHARMA,2
BATHMATE,2
SOUTHERN HEALTH FOODS PVT LTD,2
VILLI AND PURI SCIENTIFICA PRIVATE LIMITED,2
SKIN GRACE PHARMACEUTICALS,2
VRPL HEALTH CARE PVT LIMITED,2
AHURA TECHNOLOGIES,2
PROMOTEX,2
OVLO INDIA LTD,2
AHIMSA,2
WELLOK PHARMA,2
GIRIRAJ ENTERPRISE,2
SISSMA LIFE SCIENCES PRIVATE LIMITED,2
CORISE HEALTHCARE PVT LTD,2
SYNTHOKIND PHARMACEUTICALS PRIVATE LIMITED,2
DETONUTRITION,2
SKINWELL REMEDIES,2
SUJATHA BIO TECH,2
BALLARPUR INDUSTRIES LTD,2
ALLES GUETI PHARMACEUTICALS,2
CLIDE INTERNATIONAL PVT LTD,2
MORNING FRESH,2
GR HEALTHCARE LABORATORIES,2
MYSTICAL BIOTECH PVT. LTD.,2
AVISHKAR PRODUCTS,2
HETERO HEALTHCARE,2
LIVE WELL INC,2
CORONATION,2
AGORAA MARINE PRIVATE LIMITED,2
JAYSON PHARMACEUTICALS PVT LTD,2
VHRC,2
PHILIPS,2
VESTA BIOTECH,2
ACCENDO PHARMACEUTICAL,2
WELLA PROFESSIONALS,2
NSONS ENTERPRISE,2
BIO PHARMA,2
LOVINCARE COSMETICS PRIVATE LIMITED,2
CREATIVE NUTRITIONS,2
ZICAD LIFE CARE,2
MILLENNIUM HERBAL CARE LIMITED,2
PROZO PLUS,2
ZYLONE HEALTHCARE,2
ROZER PHARMACEUTICALS PVT LTD,2
BDR PHARMACEUTICALS INTERNATIONALS PVT LTD,2
VALLABH VIJAY & SONS,2
NEWRISH PHARMACEUTICALS,2
ABONY GROUP INDIA,2
EK-TEK PHARMA,2
ARLAK BIOTECH,2
HOT,2
NATURELL INDIA PVT.LTD.,2
RANAKPUR,2
AB ALLCARE BIOTECH,2
CLAPS INDUSTRIES PVT LTD,2
PLANET AYURVEDA,2
BNK HEALTHCARE,2
MIL LABORATORIES PVT LTD,2
MATRIX BIOLAGE,2
ZOYA HERBOCEUTICALS,2
SENSE BIOTECH,2
QUICK STORE,2
EASYCARE,2
LAOMAI THERAPEUTICS,2
REETTA HYGIENE,2
GENEROUS MEDIWAVES PVT LTD,2
DOCBEL,2
LUMAX PHARMACEUTICAL LABS P LTD,2
ANGIOLIFE HEALTHCARE PVT LTD,2
SELVOT PHARMA,2
GRATIO HEALTH CARE PVT LTD,2
DOCTOR BELI RAM & SONS,2
ALVAETRA LABORATORIES PVT LTD,2
KOTTAKKAL AYURVEDA,2
HYP,2
ALASKA BIOTEC PRIVATE LIMITED,2
ZYNEXT PHARMACEUTICALS PVT LTD,2
ALLITES LIFE SCIENCES PVT LTD,2
PRO INDIA ORGANICS,2
DERMCURES PHARMA,2
GIBSON PHARMA PVT LTD,2
ANDROMEDA PHARMACEUTICALS PVT LTD,2
PRISTINE BIONICS PHARMACEUTICALS PVT LTD,2
NIMBLES BIOTECH PVT.LTD,2
JVM THERMOMETERS INDUSTRIES,2
INAGARATED,2
SECURELIFE PHARMACEUTICALS,2
SUPERCHEM INDUSTRIES,2
NUZEN HERBAL PVT LTD,2
ADIREX PHARMA,2
AMULYA HERBS,2
MYSHA HEALTH WORLD,2
MEDNOVA LABORATORIES,2
TATA CHEMICALS LTD,2
ALLIED CHEMICALS & PHARMACEUTICALS PVT LTD,2
ABRENTE LIFESCIENCES,2
A ONE COSMETICS PRODUCTS,2
VARMA INDUSTRIES,2
KAIZEN LABORATORIES PVT LTD,2
PHYSICOOL PVT LTD,2
ROSEWOOD HEALTHCARE,2
ZENOTIS HEALTHCARE,2
RAYAM PHARMA,2
PRADEEP DISTRIBUTORS,2
PROTON HEALTHCARE LTD USA,2
GARG SURGICAL,2
SAT LIFESCIENCES PVT LTD,2
AGELN,2
MEDI REMEDIES,2
SEEMA INTERNATIONAL,2
EVAX HEALTHCARE PVT LTD,2
JAMNA PHARMACEUTICALS,2
BROAD BIOTECH,2
A A ENTERPRISES,2
AVILIUS NEUTRACARE,2
DXN INDIA PVT LTD,2
SANRAY DERMA PVT LTD,2
KNM PHARMA PVT LTD,2
SATYAM HEALTH CARE PVTLTD,2
NEPHRO STAR HEALTHCARE PVT LTD,2
SKYLARK PHARMACEUTICALS,2
ASSURE LIFESCIENCES PVT LTD,2
SANOR MEDICARE,2
THERAPEUTIC INDIA,2
LORD'S HOMOEOPATHIC LABORATORY PVT LTD,2
MNC BIOTECH PRIVATE LIMITED,2
REZE PHARMA,2
MEDI PRODUCTS PVT.LTD.,2
BIOCHEMIX HEALTHCARE,2
S G PHYTOCHEMICALS,2
LIFESCAN MEDICAL INDIA PVT. LTD,2
JMS HEALTHCARE,2
SUPER FORMULATIONS PVT LTD,2
SYNTONIX BIOFARM,2
SYOUNAA,2
FINGER COT,2
ZENCUS PHARMA,2
VANALAYA ORGANIC,2
SPANDEL ENTERPRISES PRIVATE LIMITED,2
NUTRIGOLD INDIA PRIVATE LIMITED,2
CHANDRA BHAGAT PHARMA PVT. LTD.,2
G H VISION,2
BRAGG HEALTH SCIENCE FORMULAS,2
DMP COMPANY,2
CYPER DRUGS & PHARMACEUTICALS (P) LTD.,2
WIN HEALTH PHARMA,2
CUTINOVA HEALTHCARE LLP,2
DYNAMIC REMEDIES,2
SCIENTIFIC REMEDIES PVT. LTD,2
GOKUL COSMETICS,2
CAREDURA PRODUCTS,2
BENEDICT LIFE SCIENCE,2
PRAVEK KALP HERBAL PRODUCTS PVT LTD,2
MAXWAY PHARMA,2
ROGERS BIOTECH,2
GODETIA HEALTHCARE,2
ASTRONIX HEALTHCARE PVT LTD,2
CONSOLE,2
ROC LAB,2
VINI COSMETICS PVT LIMITED,2
SOVEREIGN REMEDIESPVT LTD,2
WONDER FRESH,2
BARYTON PHARMA PVT LTD,2
AMWILL HEALTH CARE PVT LTD,2
IVEON,2
RAJASTHAN HERBALS,2
PLATINUM PHARMACEUTICALS (PVT) LTD,2
COSMIREX HEALTHCARE,2
THURS PHARMACEUTICALS,2
AARA LIFESCIENCES INDIA PVT LTD,2
MEWELL BIOTECH PVT LTD,2
IG REMEDIES,2
ZED CROSS HEALTHCARE PVT.LTD,2
MEDIWINGS BIOSCIENCE PVT LTD,2
CARE LIFESCIENCES,2
CORPORATE LABS PVT LTD,2
UJWALA AYURVADASHRAM,2
MOOD,2
AVNI PHARMA,2
NANAK MEDICOS,2
SYNIM REMEDIES PRIVATE LIMITED,2
CONSUMER MARKETING INDIA PVT LTD,2
ASAHI POLYSLIDER CO. LTD,2
TARKS PHARMACEUTICALS PRIVATE LIMITED,2
CRESOL PHARMACEUTICALS PRIVATE LIMITED,2
TROIKK CARDIAC CARE,2
OJAS PHARMA,2
MAXICHEM HEALTHCARE PRIVATE LIMITED,2
SUPREME,2
HARVEY LABORATORIES PVT LTD,2
AYURLAB HERBALS PVT LTD,2
ONUS PHARMACEUTICALS PVT LTD,2
VEFA ILAC LLP,2
FINN COSMECEUTICALS,2
PCD PHARMA,2
LUCID PHARMACEUTICALS,2
PRIME MANKIND,2
DIYA,2
HEIL GERMAN PHARMACEUTICALS PVT LTD,2
VASISHTA PHARMACEUTICALS,2
ENZYSURGE,2
BABULINE PHARMA PVT.LTD,2
NAVANKUR,2
LABRADA NUTRITION,2
KRISHAN PHARMA,2
GODDRES PHARMACEUTICALS LTD,2
DARA PHARAMACEURTICALS LTD,2
MEDISUN LIFESCIENCES PVT LTD,2
KAMCURE BIOTECH,2
LT &L,2
VISHAM LIFECARE,2
MANIG PHARMACEUTICALS,2
BLAIR REMEDIES PVT LTD,2
MAHAJA PHARMACARE,2
ASPIDA PHARMA PVT LTD,2
NATURE MADE,2
CEZA FORMULATION PVT LTD,2
FANTABULOUS PHARMA,2
MIMEC PHARMA PVT LTD,2
MICRO ORGANICS PHARMACEUTICAL INDIA PVT. LTD.,2
CUE LABS,2
DERMA SWIFT HEALTHCARE,2
PRECISION MEDICARE,2
ASTER LIFE SCIENCE,2
TOUBIB PHARMA PVT LTD,2
MILAGRO LIFE SCIENCES PRIVATE LIMITED,2
KROBZ HEALTHCARE PVT LTC,2
GRAVION LIFE SCIENCES,2
BB REMEDIES PVT LTD,2
MALIK LIFESCIENCE PVT LTD,2
ATLANTA PHARMACEUTICALS,2
AGE BIOTECH,2
WELLMARK LIFE SCIENCES,2
GAIETY LIFE,2
ROXTER LABORATORIES,2
CASCADE INDIA,2
TECHNOPHARM PVT LTD,2
WELLICIA PHARMACEUTICALS PRIVATE LIMITED,2
STARKESS LABORATORIES,2
SAPPHIRE,2
KITNIX PVT LTD,2
NEW RESEARCH LIFESCIENCES PVT LTD,2
GENEXT LABS,2
ROCKSTAR PHARMA,2
REGULUS PHARMACEUTICALS,2
KEPS 3 LIFE SCIENCE PRIVATE LIMITED,2
GLOSUN PHARMA PVT LTD,2
ALLERGAN INDIA LTD,2
NUCON REMEDIES PVT.LTD,2
SHPERO HEALTH LLP,2
VARDHMAN BIOTECH PVT LIMITED,2
NUTRIMED HEALTHCARE,2
D D NEUTRACEUTICALS,2
AMERICAN REMEDIES LIMITED,2
WALTER HEALTHCARE,2
KENLIFE CARE,2
CARITUM PHARMA,2
MERRYBELL BIOCEUTICALS,2
ZECHSTEIN LIFE SCIENCES,2
NIRIX DERMA,2
KWIK HEALTH CARE,2
ZYLIG LIFESCIENCES,2
HICXICA FORMULATIONS PVT LTD,2
LARION LIFE SCIENCIES (P) LTD,2
BIO COM PHARMA,2
SCUTAGE PHARMA,2
BIO SWISS PHARMA,2
SONIKO PHARMACEUTICALS PVT LTD,2
BEUMED HEALTHCARE,2
ESSJOHN PHARMA,2
ZUMAX,2
ERIKA REMEDIES,2
REETAX LIFE CARE,2
RAYON REMEDIES,2
KEDRION (ITALY),2
PACE BIO SCIENCES,2
LIVEUP HEALTHCARE PVT LTD,2
MAYA MEDICINES,2
ASHLEY PHARMATECH PRIVATE LIMITED,2
FRIENDS PHARMACEUTICALS PVT LTD,2
ZUDDY HEALTHTECH PVT. LTD.,2
JRB LIFESCIENCES PRIVATE LIMITED,2
RAPIDCHEM HEALTHCARE,2
BONUM MEDELAE,2
BAGS OF ETHICS,2
JAYCURE PHARMA,2
QUALCHEM HEALTHCARE PRIVATE LIMITED,2
ALBUS HEALTHCARE,2
APKAVIT LIFESCIENCES,2
ANATRA MEDICAL CARE,2
VANGUARD LABORATORIES,2
STEPCURE PHARMA PRIVATE LIMITED,2
GLENN,2
PEAU BRILLANTE PHARMA,2
QUEPREON BIOLOGICALS PVT LTD,2
MEDOYSE NUTRACEUTICALS,2
ORDAIN HEALTHCARE PVT LTD,2
BI CURE REMEDIES,2
MODULA LIFE SCIENCES,2
KEROMIL LIFE CARE PVT LTD,2
SAIN MEDICAMENTS PRIVATE LIMITED,2
NIRVANA HEALTH CARE,2
VALLEY PHARMA,2
MEDIZEN LABS PVT. LTD. (JOINTS COACH),2
INDIABIZCLUB,2
DOLPHIN HEALTHCARE PRIVATE LIMITED,2
DIVYA INTERNATIONAL,2
WINSTON PHARMACEUTICALS LTD,2
YPURS MEDICARE PVT LTD,2
PENTAMARK ORGANICS,2
AUTHENTIC HEALTHCARE,2
NUTRIASIA LIFESCIENCES PVT LTD,2
CARE US PHARMACEUTICAL,2
HILTON HYMAN HEALTHCARE,2
ORACHE HEALTHCARE,2
SPA NEWTRACEUTICALS PVT LTD,2
AVERT PHARMA,2
GOLDSTAR REMEDIES,2
FYTOKEM FORMULATIONS,2
BIOTAS HEALTHCARE PVT LTD,2
ZYDUS HEPTIZA,2
ODENTO PHARMA,2
SOCKER PHARMA PVT. LTD,2
ENACTIS HEALTHCARE PVT LTD,2
AESTON LIFESCIENCES,2
CLASSIC LABORATORIES,2
BLUE ORCHARD INC,2
AUSTOKEM PHARMA,2
NEWGEN PHARMA,2
ZENSURE PHARMA,2
AUTUS LIFE SCIENCES,2
ALBERT REMEDIES,2
ANKYL EARTH PHARMACEUTICAL,2
GREENARY PHARMACEUTICALS,2
GIFERT BIOSCIENCES PVT LIMITED,2
AMRO PHARMA PVT LTD,2
AMBIENCE PHARMA,2
HARRIET HEALTHCARE,2
PHARMATECH SOLUTIONS PVT LTD,2
MAYA BIOTECH PVT LTD,2
CONICAL PHARMACEUTICALS,2
CANDURE MEDICA PVT LTD,2
GOLDEN AURUM PHARMACEUTICALS LLP,2
ALTOCARE LIFE SCIENCES PVT LTD,2
MEDVENT HEALTHCARE,2
SRS,2
NOVOSTART LIFESCINECE,2
CORVUS REMEDIES,2
ALEXIN BIOSCIENCES,2
CUREWELL DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,2
WHISTLER PHARMACEUTICALS PRIVATE LIMITED,2
ANGEL LABORATORIES PRIVATE LTD,2
BIOALCON PHARMACEUTICALS,2
NEXT VISION PHARMA,2
NAC INTERNATIONAL,2
WELLWORTH LIFE SCIENCE,2
HYGEIA LABS PVT LTD,2
SENSUS PHARM,2
AMWAY NUTRILITE,2
CELON LABORATORIES LTD,2
ALLPA (INDIA) PHARMACEUTICALS,2
LENIMEN BIOTECH PRIVATE LIMITED,2
MEDROCK BIOTECH,2
AVIS PHARMACEUTICALS,2
ERA LABS,2
REDISUN PHARMACEUTICALS,2
ALGEN REMEDIES PRIVATE LIMITED,2
BIOWELL LIFE SCIENCES,2
PANCARE,2
LUCIFER & HESPER INDIA PVT LTD,2
SAVOY BIOTECH LTD,2
GEOCARE PHARMA,2
MEGACURE PHARMACEUTICALS P.LTD,2
KALWIN BIOMEDICA,2
PHARMAKRAFT THERAPEUTICS PVT LTD,2
CURASIA MEDILABS PRIVATE LIMITED,2
SIGN PHARMA,2
GBK HEALTHCARE,2
BUENO HEALTHCARE PVT LTD,2
RACHIL PHARMA,2
AMAGEN INDIA LIFE SIENCES,2
3 CUBE,2
ALCARE LABS PRIVATE LIMITED,2
EDOLF HEALTHCARE PVT LTD,2
EMMY PHARMACEUTICALS PVT LTD,2
RISHI HEALTHCARE,2
NEST HEALTHCARE PRIVATE LIMITED,2
PARIS DAKNER MICF,2
CARTEL LAB,2
ELISTA PHARMACEUTICALS,2
CAPS PHARMA LIMITED,2
KUTIS HEALTHCARE PVT LTD,2
LEFIABLE HEALTHCARE PVT LTD,2
ZERING SMITH LIFESCIENCES,2
HILT BRANDS INDIA PVT. LTD,2
MEDREX CARE PHARMA PVT LTD,2
HERMAS BIOTECH PRIVATE LIMITED,2
RX SOLUTION,2
CURE HEALTH CARE,2
BIDU BIOTECH,2
ROLAB (PTY) LTD,2
VENKYS NUTRITION,2
GENX PHARMA LTD,2
SAFE U PHARMACEUTICALS,2
ASTREOS HEALTHSOL PVT LTD,2
MYCURE PHARMA PVT LTD,2
PHARM BIOTECH,2
GRATIO HEALTH CARE,2
PEARL,2
YUAN CHOU CHEMICALS,2
NUVISTA PHARMACEUTICALS,2
WELDONE HEALTHCARE,2
METICULOUS,2
PAREX PHARMACEUTICALS PVT. LTD.,2
HYETO PHARMACEUTICALS PVT LTD,2
GALGOTIES PHARMACEUTICALS PRIVATE LIMITED,2
MILARD LIFE SCIENCES,2
ALTAR PHARMACEUTICALS PVT LTD,2
GREENLIFE PHARMA,2
OM BIOMEDIC PVT LTD,2
UNIROYAL PHARMACEUTICALS LTD.,2
HAHNEMANN LABORATORIES,2
JANSEEN PHARMACEUTICALS,2
MARS AVENTIS LIFECARE,2
GROWISH PHARMA,2
ZDL PHARMACEUTICS,2
HUADIZ PHARMACEUTICALS,2
BOGS INDIA PVT LTD,2
NEWSEARCH LIFESCINECES PVT LTD,2
ORTUM HEALTHCARE PVT LTD,2
VITALAE HEALTHCARE,2
VSAAR PHARMA PVT LTD,2
MEDLOCK HEALTHCARE PVT LTD,2
FERTIN INDIA PVT LTD,2
KEY WEST MEDICINES PVT LTD,2
AIDLEY FORMULATIONS,2
HIPPO LABS PRIVATE LIMITED,2
MEDWELL PHARMACEUTICALS,2
APEX HERBAL PRODUCTS,2
ZYCUSLIFE HEALTHCARE PVT LTD,2
DESTIN LABORATRIES PVT LTD,2
SINKONA HEALTH CARE,2
MARCK BIOSCIENCES LTD,2
SATYAM OPTHALMICS PVT LTD,2
MAESTRO PHARMACEUTICALS P.LTD,2
TTK,2
SANKALP HEALTHCARE PVT LTD,2
BIOPHARMACIEAA PVT LTD,2
INSYTE HEALTH CARE,2
AMBER HEALTHCARE,2
EIGEN PHARMACEUTICALS,2
SCORIA PHARMACEUTICALS,2
EMPHASIS PHARMA PVT LTD,2
ORCHIS PHARMA,2
DETOX REMIDIES,2
BRITISH BIOLOGICAL,2
GENUSIA LIFE SCIENCES,2
GOLDEN SURGIMED LTD,2
BALIN HEALTHCARE PRIVATE LIMITED,2
EURROSIA LIFE SCIENCES,2
ARISTA LIFE SCIENCES LLP,2
REZVACURE BIOTECH,2
NEUROCARE,2
MAXAMUS THERAPEUTICS,2
CRADLE LIFE SCIENCES PVT LTD,2
VOLL SANTE FUNCTIONAL FOOD AND NUTRACEUTICALS PRIVATE LIMITED,2
I-TRUST PHARMACEUTICALS,2
MANSPIC FORMULATION PRIVATE LIMITED,2
BENZ PHARMA,2
RUDOLF LIFE SCIENCES,2
GLOBELA PHARMA PVT LTD,2
GLISTEN LIFESCIENCES,2
RAIN REMEDIES,2
EMPOWER LIFE SCIENCES,2
AVISTAR LIFE SCIENCES PVT. LTD,2
MARSHA ORGANICS PRIVATE LIMITED,2
ZEUS DRUGS LIMITED,2
RADIANT PHARMACEUTICALS LTD,2
AERO-CHEM NEUTRON PVT LTD,2
ARKLE HEALTHCARE PRIVATE LIMITED,2
FLORA,2
HETVI LIFESCIENCES PRIVATE LIMITED,2
PHONDAGHAT PHARMACY,2
THOR DRUGS PVT LTD,2
MARINE HEALTHCARE,2
SMEAR PHARMA,2
DEVON,2
NEWGEN LIFE SCIENCES PRIVATE LIMITED,2
REX (U&A) REMEDIES PVT. LTD.,2
WET AND DRY PERSONAL CARE PVT LTD,2
TALOHSTY MEDMARK PRIVATE LIMITED,2
ZATINE COSMOCON PHARMA PVT LTD,2
GMH PHAMA PVT LTD,2
DRUG INTERNATIONAL LTD,2
HERBALIFE NUTRITION,2
ASTRON HEALTHCARE,2
JSLABORATORIES (P) LTD,2
ROMAN PHARMA,2
GEMINI LABS,2
OPTIMUS THERAPEUTICS,2
DOCTRIS LIFE SCIENCES PRIVATE LIMITED,2
FEROZSONS LABORATORIES LTD,2
BHAGWAT PHARMACEUTICAL LTD.,2
FOI PHARMA,2
VERTEX INDIA HEALTH CARE,2
ENRICO SCIENTIFIC PVT LTD,2
SYN LAB,2
CUSTODIAN PHARMA PVT LTD,2
ROYAL RESEARCH LAB PVT LTD,2
CAMPER HEALTHCARE,2
CAPRIUS,2
HORIZONE HEALTHCARE,2
ASIAN LIFECARE PVT LTD,2
FLORA & PHARMA,2
DACIOUS PHARMA,2
BIONOMICS LIFE SCIENCES PVT LTD,2
CARE LABORATORIES,2
ORBITAL HEALTHCARE PVT.LTD,2
BACANAS INDIA PVT LTD,2
DAKSH HEALTHCARE,2
SIMILIA HEALTH AND BEAUTY,2
ARLYN LIFESCIENCES PVT LTD,2
COVET BIOTECH PVT LTD,2
CENTURY DRUG PVT LTD,2
WANCURA LIFESCIENCES,2
AUSMED LIFE SCIENCE,2
BEN PHARMA,2
AMSTER HEALTHCARE,2
NISHA,2
ZODAK HEALTHCARE,2
ENDOCURA PHARMA PVT LTD,2
SERENTO DERMACARE PVT LTD,2
IMPEGNO PHARMACEUTICALS PVT LTD,2
COSMOINNOVATIONS PVT LTD,2
NAZ PHARMACEUTICALS,2
MEDINET PHARMACEUTICALS,2
ADINOS FASHIONS LIMITED,2
HAHNEMANN PURE DRUG CO.PVT,2
JARSON PHARMACEUTICALS,2
DIGNITY HEALTHCARE PVT LTD,2
AMAR-DEEP PHARMAS LLP,2
PEHAL LIFE SCIENCES PRIVATE LIMITED,2
ZERDIA HEALTHCARE PVT LTD,2
STANGAN PHARMA -2,2
KINETIC LIFE SCIENCE (OPC) PVT LTD,2
NIMERU HEALTHCARE AND COSMETICS PRIVATE LIMITED,2
HEALTHY WEALTH,2
ECHELON PHARMACEUTICAL,2
ZESTIK HEALTH CARE,2
ACCORD PHARMACEUTICALS,2
JYOTI HEALTHCARE PRIVATE LIMITED,2
SUNSIGN PHARMA,2
TRIMEDIX PHARMA,2
GENERA LABS,2
SELDOM PHARMA PVT LTD,2
SPLENZ PHARMACEUTICALS PVT LTD,2
LEWIS BIOSERCH PHARMA PVT LTD,2
MARSHA PHARMA,2
DSM NUTRITIONAL PRODUCTS,2
MMATRICS PHARMACEUTICALS,2
SHAIGAN PHARMACEUTICALS PVT LTD,2
GLOBIN PHARMACEUTICAL PVT LTD,2
CAREPRIDE PHARMA,2
MEDTRONIX HEALTH CARE,2
VOPEC PHARMACEUTICALS PRIVATE LIMITED,2
MARKS PHARMACEUTICALS,2
BRIYOSIS SOFT CAPS PVT LTD,2
BLOSSOM KOCHHAR BEAUTY P LTD,2
WHITEPATH,2
THIEST BIOTEC,2
GENERAL NUTRITION CORPORATION,2
AMBICA PHARMA,2
I-SENS INC,2
VIN SUPER FOODS,2
DOLPHIN PHARMATECH PRIVATE LIMITED,2
GSL PHARMACEUTICALS,2
UNKNOWN MANUFACTURER,2
IBIZ LIFE CARE PRIVATE LIMITED,2
MISLINUS,2
TRINICARE PHARMACEUTICALS,2
STANPRO PHARMACETIAL LTD,2
VARDHAMAN PHARMACEITICALS,2
HELIX BIOLOGICALS,2
ARDEN INDUSTRIES,2
LIFE SAVER,2
BRIGADE PHARMACEUTICALS PRIVATE LIMITED,2
RECH ELIST PHARMA,2
RAMANI ENTERPRISE,2
LEBON PHARMACEUTICALS,2
EINOXY LIFE SCIENCES,2
SIGNATURE PHARMACEUTICALS LIMITED,2
SWIZER BIOMEDICARE,2
TORCIUM BIOTECH PRIVATE LIMITED,2
BIOBRICK PHARMA HEALTHCARE,2
DEORIS HEALTHCARE,2
SUPER STAR,2
WELLCHON LAB,2
TULISON PHARMA,2
HIND PHARMA,2
MILLIGRAM LABORATORIES,2
BIOPOLIS LIFE SCIENCES PRIVATE LIMITED,2
ZYTEK PHARMACEUTICALS,2
ISCON LIFESCIENCES,2
HAWITT PHARMACEUTICALS PVT LTD,2
IMMUNITY HEALTHCARE PVT LTD,2
MEDISTAR LIFECARE PVT LTD,2
INMED THERAPEUTICS INDIA,2
