Company Name,Number of Medicines
ALNICHE LIFE SCIENCES PVT LTD,238
LINUX LABORATORIES,238
NECTAR LIFESCIENCES LTD,238
ZANDU PHARMACEUTICALS WORKS LTD,237
NEISS LABS PVT LTD,236
ACTIVE HEALTHCARE,235
MSN LABORATORIES,234
CE BIOTEC PVT LTD,234
LARK LABORATORIES LTD,233
FRANCO INDIAN PHARMACEUTICALS PVT LTD,231
RHOMBUS PHARMA PVT LTD,229
ENTOD PHARMACEUTICALS PVT LTD,228
HEGDE AND HEGDE PHARMACEUTICA LLP,228
TALENT INDIA,227
PINARC LIFE SCIENCES PVT LTD,227
ORCHID PHARMA,227
MOVA PHARMACEUTICALS PVT LTD,225
BIOLOGICAL E LIMITED,224
ANIKEM LABORATORIES,224
MAPRA LABORATORIES PVT LTD,224
UNICHARM INDIA PRIVATE LIMITED,223
DYNA,223
ZOTA PHARMACEUTICALS,223
ACCILEX NUTRICORP,223
HALEDEW REMEDIES,222
CRESCENT FORMULATIONS PVT LTD,219
BIOCHEMIX HEALTHCARE PVT LTD,218
MEDO PHARMA,218
ISCON LIFE SCIENCES,218
GARNIER LAB,217
UNISON PHARMACEUTICALS,217
ADMAC FORMULATIONS,217
SUNWAYS (INDIA) PVT LTD,215
OMVED LIFESTYLE PVT LTD,214
SRI SRI AYURVEDA,213
GLAXOSMITHKLINE PHARMA,212
ADLEY LABS,212
ANGLO FRENCH DRUGS & INDUSTRIES LIMITED,212
LLOYD HEALTHCARE PVT LTD,211
AAN PHARMA PVT LTD,210
SERENE LIFESCIENCE,210
MERIDIAN ENTERPRISES PVT LTD,209
HIGLANCE LABORATORIES PVT LTD,208
PULSE PHARMACEUTICALS PVT LTD,207
FOREGEN HEALTHCARE PVT LTD,207
ARINNA LIFESCIENCES PVT LTD,207
EXCARE LABORATORIES,207
TRITON HEALTH CARE PVT LTD,206
EDWARD YOUNG LABS,205
HELIOS PHARMACEUTICALS,203
MOLEKULE (IND)PVT LTD,203
ZODLEY PHARMACEUTICALS PVT LTD,203
WHEEZAL HOMEOPATHY,202
ORTIN LABORATORIES LTD,202
TRUMAC HEALTH CARE,201
FRESENIUS KABI,200
PHARMASYNTH FORMULATIONS,200
EMAMI LIMITED,199
MODI MUNDI PHARMA PVT LTD,199
OSHO PHARMA PVT LTD,199
SURGICAL,197
PANDG,197
LIFEKYOR PHARMACEUTICALS,197
CHANDRA BHAGAT PHARMA PVT LTD,196
MORACEAE PHARMACEUTICALS PVT LTD,195
RADICURA PHARMACEUTICALS PRIVATE LIMITED,195
GENO PHARMACEUTICALS LTD,194
SYNOKEM PHARMACEUTICALS LTD,193
DIVINE SAVIOR PVT LTD,193
WEST COAST PHARMA,192
DWD PHARMACEUTICALS LTD,192
ZENACTS PHARMA,191
JENBURKT PHARMACEUTICALS,191
JAINIK LIFE SCIENCES,191
JASCO LABS PVT LTD,191
SHREE DHOOTAPAPESHWAR,190
LEO PHARMA,190
ROSCH ELMER PHARMACEUTICALS PVT LTD,189
3M INDIA LIMITED,188
HINDUSTAN UNILEVER LTD,188
VENSAT BIO,188
AGLOWMED PHARMACEUTICALS LTD,187
DR RECKEWEG,187
MEDICO HEALTH CARE,187
SRESAN PHARMACEUTICALS,187
FOCUS HEALTHCARE PVT LTD,187
LOREAL INDIA PVT LTD,186
WILLOW PHARMACEUTICALS PVT LTD,186
EDEN PHARMACEUTICALS LTD,186
MIDAS CARE PHARMACEUTICALS PVT LTD,186
RONYD HEALTH CARE PVT LTD,186
SANZYME LTD,186
INDKUS BIOTECH INDIA,186
AARPIK REMEDIES PVT LTD,185
CRONUS BIOTECH LTD,183
DERMOCARE LABORATORIES,183
PCI PHARMACEUTICALS,183
BIOCIN HEALTHCARE,183
MATHIS PHARMA,183
NIVEA INDIA PVT LTD,182
PALSONS DRUGS & CHEMICALS,182
BROSTIN SEIZZ BIOCARE,182
GARY PHARMACEUTICALS PVT LTD,182
MALODY HEALTHCARE LTD,181
BIOCIN GENETICS AND PHARMA,180
AMERICAN BIOCARE,180
CINEREA BIOTECH PVT LTD,180
NUTRON LIFE SCIENCES,180
BAKSONS SUNNY HERBALS,179
OVERSEAS HEALTHCARE PVT LTD,179
ASOJ SOFT CAPS PVT LTD,178
EMENOX HEALTHCARE PVT LTD,178
BEST BIOTECH,176
ANCALIMA LIFESCIENCES LIMITED,175
SERUM INSTITUTE OF INDIA PRIVATE LIMITED,174
UNIMARCK PHARMA INDIA LIMITED,173
SUNRISE REMEDIES PVT LTD,173
SANJEEVANI BIOTECH PRIVATE LIMITED,172
MEFRO PHARMACEUTICALS PVT LTD,172
RITZ PHARMA,170
MEDWILL PHARMACEUTICALS PVT LTD,169
INDIAN DRUGS & PHARMACEUTICALS,169
PIFER PHARMACEUTICALS PVT LTD,169
ABS REMEDIES,169
INFLUX HEALTHCARE,168
MULLER & PHIPPS,168
PROCTER AND GAMBLE,167
BAN LABS,167
TRIPADA HEALTHCARE PVT LTD,167
TAJ PHARMACEUTICALS,167
ALLENS LABORATORY LTD,165
STADMED PVT LTD,165
LOGOS PHARMACEUTICALS,165
AURIGA LABS,165
HAMDARD (WAKF) LABORATORIES,164
GRAF LABORATORIES PVT LTD,163
BAL PHARMA LIMITED,161
A.N.PHARMACIA,160
CADILA PHARMACEUTICALS LTD,159
HBC LIFESCIENCES PVT LTD,159
ELISA BIOTECH PVT LTD,159
DEYS MEDICAL,158
MARC PHARMA,158
DELCURE LIFESCIENCES,158
OXFORD PHARMACEUTICALS PVT LTD,158
ZODAK PHARMACEUTICALS PVT LTD,158
AXIOM THERAPEUTICS PVT LTD,156
OCHOA LABORATIORIES LTD,156
LA PHARMACEUTICALS,156
WIPRO LTD,155
VENUS REMEDIES LTD,155
BEULAH BIOMEDICS,155
KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD(KAPL),155
KOPRAN PHARMACEUTICALS LIMITED,154
EDELWEISS LIFECARE PVT LTD,154
KLM LABORATORIES PVT LTD,154
AMBIT BIO MEDIX,153
HIRAL LABS LTD,152
OBSURGE BIOTECH LTD,152
FORGO PHARMACEUTICALS PVT LTD,152
BECTON DICKINSON INDIA PVT LTD,150
LITTLE GREAVE PHARMACEUTICALS PVT LTD,150
VASU ORGANICS PVT LTD,149
DEWCARE CONCEPT PVT LTD,148
SILICON PHARMA,148
COLGATE-PALMOLIVE (INDIA) LTD,147
WILL IMPEX,147
GROUP PHARMACEUTICALS LTD,147
TRIKO PHARMACEUTICALS,147
SARIAN HEALTHCARE,146
BOMBAY TABLET MFG CO PVT LTD,146
HECURES BIOTECH,145
SHREEYAM HEALTHCARE,145
ABYSS PHARMA,144
ANVIK BIOTECH,144
KENTRECK LABORATORIES PVT LTD,144
CURATIO HEALTHCARE INDIA PVT LTD,143
PRIMUS REMEDIES PVT LTD,142
MSD PHARMACEUTICALS INDIAN PRIVATE LTD,142
BIOVEDA,141
GNOVA BIOTECH,141
NIRLIFE HEALTHCARE,141
UNIPHAR BIOTECH,141
HINDUSTAN UNILIVER LTD,140
WINSOME LAB LTD,140
ELFIN PHARMA PVT LTD,140
REMEDIES PHARMA,140
MMC HEALTHCARE LTD,140
VILIN BIO MED LTD,140
BIOTIQUE LTD,139
HENRY PHARMACEUTICALS,139
GILLETTE INDIA LTD,139
MADHAV LABS,139
LEBEN LABORATORIES PVT LTD,139
ARTSANA,138
AARIN LABS,138
ALICON PHARMACEUTICALS PVT LTD,138
KENN PHARMACEUTICALS PVT LTD,138
INTEL PHARMACEUTICALS,137
GENERAL PHARMACEUTICALS,136
PARENTERAL DRUGS (INDIA) LTD,136
ARVINCARE HEALTHCARE,136
SERVOCARE,136
BAXTER INDIA PVT LTD,136
KINEDEX HEALTHCARE PVT LTD,135
NITRO ORGANICS PVT LTD,135
LICHEM PHARMACEUTICALS,134
QUALITRON BIO MEDICA,134
AURZ PHARMACEUTICALS PVT LTD,134
UNIKIND PHARMA,134
LANCER HEALTH CARE PVT LTD,134
DANIEL PASTEUR,133
EAST INDIA PHARMA WORKS LTD,133
COLGEN PHARMA,133
WINGS BIOTECH LIMITED,133
ANTHUS PHARMACEUTICALS PVT LTD,133
PROGRESSIVE LIFE CARE,132
SUNIJ PHARMA PVT LTD,132
INTEGRACE PVT LTD,131
ROCHE LIMITED,131
ESTRELLAS LIFE SCIENCES,131
GATES BYBY PHARMACEUTICALS,130
MERION CARE,130
BANAJI HOMEOPATHIC PHARMACY,130
